Date,Market,OpenInterest,ProdLong,ProdShort,SwapLong,SwapShort,MMLong,MMShort,OtherLong,OtherShort,ChangeOI,ChangeMMLong,ChangeMMShort,MMNet,SwapNet,ProducerNet,OtherNet,SpecPressure,DealerPressure,ProdPressure,PsychophysicalPositioning,PP_signed,PositionShock,MMNet_EWM,PosMomentum,CrowdingIndex,DivergenceIndex
2006-09-12,,403755,53732,133417,33464,59988,78251,31200,35724,6633,-16687.0,-12704.0,3419.0,47051,-26524,-79685,29091,0.11653354138029251,-0.06569330410768907,-0.1973597850181422,-0.3633696634426117,-0.3633696634426117,-1.7195082813447549,68319.01661572675,-21268.016615726752,,0.18222684548798157
2006-09-19,,430959,61312,135599,36876,59838,71695,29518,34606,7391,27204.0,-6556.0,-1682.0,42177,-22962,-74287,27215,0.09786777860538938,-0.053281170598595225,-0.1723760264897589,-0.4472927060146343,-0.4472927060146343,-0.5389990822670764,66382.57094048773,-24205.570940487727,,0.1511489492039846
2006-09-26,,406994,63370,131160,33963,59958,70524,32558,32245,3913,-23965.0,-1171.0,3040.0,37966,-25995,-67790,28332,0.09328393047563355,-0.06387072045288136,-0.16656265202926823,-0.5255886298648612,-0.5255886298648612,-0.48236161336353395,64277.63975971086,-26311.63975971086,,0.1571546509285149
2006-10-03,,413818,66104,131341,35907,60203,67587,33259,34112,4380,6824.0,-2937.0,701.0,34328,-24296,-65237,29732,0.0829543422470748,-0.05871180083998279,-0.1576465982630045,-0.5985574699036522,-0.5985574699036522,-0.4310073362128313,62059.1479256582,-27731.147925658202,,0.1416661430870576
2006-10-10,,430807,72256,133538,38669,56417,63659,38639,35107,4364,16989.0,-3928.0,5379.0,25020,-17748,-61282,30743,0.058077050744300814,-0.04119710218264792,-0.14224931349769154,-0.8809750584237603,-0.8809750584237603,-1.115538271741991,59315.50733857241,-34295.50733857241,,0.09927415292694873
2006-10-17,,426984,71558,131844,33807,56992,67141,40387,35555,4015,-3823.0,3482.0,1748.0,26754,-23185,-60286,31540,0.06265808554887303,-0.05429945852772001,-0.1411903022127293,-0.7842177436222135,-0.7842177436222135,0.21238355435680042,56903.54383201149,-30149.54383201149,,0.11695754407659303
2006-10-24,,430766,75101,131931,29711,53996,56144,40439,42341,4550,3782.0,-10997.0,52.0,15705,-24285,-56830,37791,0.03645830915160435,-0.05637631567951045,-0.13192777517259952,-1.2796338746146145,-1.2796338746146145,-1.3521226738580323,53851.79984445508,-38146.79984445508,,0.09283462483111479
2006-10-31,,427979,67289,129457,28865,59193,62544,36234,38742,3509,-2787.0,6399.0,-4205.0,26310,-30328,-62168,35233,0.061474978912516735,-0.07086329002123935,-0.1452594636652733,-0.737904301167414,-0.737904301167414,1.2456145964941832,51811.666522643594,-25501.666522643594,,0.13233826893375608
2006-11-07,,455640,69676,146344,24643,64715,79413,30100,36424,6370,27661.0,16870.0,-6135.0,49313,-40072,-76668,30054,0.10822798700728646,-0.08794662452813624,-0.16826441927837768,-0.10493328275325141,-0.10493328275325141,2.307840825998915,51626.580113558884,-2313.5801135588845,,0.1961746115354227
2006-11-14,,476072,75827,158575,23369,66754,81805,27808,40068,6318,20432.0,2391.0,-2292.0,53997,-43385,-82748,33750,0.11342191937354014,-0.09113117343595087,-0.17381404493437969,-0.013579635126394688,-0.013579635126394688,0.47772433937601694,51802.16677181378,2194.8332281862167,,0.20455309280949102
2006-11-21,,474432,71887,153358,24292,64583,79463,27921,37885,6093,-1640.0,-2341.0,112.0,51542,-40291,-81471,31792,0.10863938351544584,-0.08492470996897343,-0.17172323957911775,-0.057677318315272744,-0.057677318315272744,-0.2561195546854637,51782.89515908684,-240.89515908683825,,0.19356409348441928
2006-11-28,,423676,62564,141730,22103,66127,77611,29840,41021,7103,-50756.0,-1852.0,1919.0,47771,-44024,-79166,33918,0.1127536136104004,-0.10390959129145856,-0.1868550496133838,-0.1286386572784236,-0.1286386572784236,-0.40147154870253815,51485.71773989522,-3714.717739895219,,0.21666320490185897
2006-12-05,,415169,56787,138379,22467,66259,83017,28109,37523,7141,-8507.0,5407.0,-1731.0,54908,-43792,-81592,30382,0.13225457584742598,-0.10547993708586142,-0.19652719735818425,0.010191798830558247,0.010191798830558247,0.7642276969710867,51739.22012953261,3168.7798704673914,0.5815433453984454,0.2377345129332874
2006-12-12,,411990,56527,138696,27470,64889,80167,28486,37573,7306,-3179.0,-2851.0,377.0,51681,-37419,-82169,30267,0.12544236510594917,-0.09082502002475788,-0.19944416126605014,-0.048555793115979455,-0.048555793115979455,-0.35215356650614765,51734.90752734501,-53.90752734500711,0.5336735299353231,0.21626738513070703
2006-12-19,,416337,62701,137892,32664,61671,69911,29269,36613,7969,4347.0,-10256.0,783.0,40642,-29007,-75191,28644,0.09761803538960025,-0.06967192442660633,-0.1806012917420263,-0.2798439322402463,-0.2798439322402463,-1.1999589844361251,50913.2106734676,-10271.210673467598,0.36991930220138847,0.1672899598162066
2006-12-26,,415984,62269,139328,33014,62964,71209,32791,37763,7877,-353.0,1298.0,3522.0,38418,-29950,-77059,29886,0.09235451363513981,-0.07199796146005616,-0.1852451055809839,-0.3262275435644805,-0.3262275435644805,-0.24629831252248327,49987.63951247,-11569.63951247,0.3369281433572658,0.16435247509519596
2007-01-03,,434040,59523,142026,31482,65185,79570,31903,39645,9061,18056.0,8361.0,-888.0,47667,-33703,-82503,30584,0.10982167542162012,-0.07764952538936504,-0.19008155930329002,-0.10702066369164562,-0.10702066369164562,1.0189267581220807,49815.74028932407,-2148.7402893240724,0.4741292351510117,0.18747120081098517
2007-01-09,,426897,61731,126344,37098,56369,66123,40894,35992,8708,-7143.0,-13447.0,8991.0,25229,-19271,-64613,27284,0.05909856475918079,-0.04514203660367724,-0.15135501069344595,-0.7262036612313213,-0.7262036612313213,-2.3009991285347895,47994.50026789266,-22765.50026789266,0.14128048418679168,0.10424060136285802
2007-01-16,,421266,63169,129454,30226,61019,69652,34377,38574,9086,-5631.0,3529.0,-6517.0,35275,-30793,-66285,29488,0.08373569193811037,-0.07309633343303282,-0.1573471393371409,-0.38085818757019685,-0.38085818757019685,1.023864938458942,47052.31506286358,-11777.315062863578,0.290304396843292,0.15683202537114319
2007-01-23,,457878,68321,148973,26441,73518,89090,29885,41420,10603,36612.0,19437.0,-4492.0,59205,-47077,-80652,30817,0.12930300210973228,-0.10281559716780453,-0.1761429900541192,0.13253476701506434,0.13253476701506434,2.2522170598560067,47952.513947095904,11252.486052904096,0.6452857058090548,0.2321185992775368
2007-01-30,,426462,55258,148386,26517,77936,102396,29413,42746,9567,-31416.0,13307.0,-472.0,72983,-51419,-93128,33179,0.17113599804906415,-0.12057111770802557,-0.21837350103877953,0.3298437124043253,0.3298437124043253,1.2822224430565852,49806.6240250888,23176.3759749112,0.849670681777725,0.29170711575708974
2007-02-06,,449381,53021,158799,26714,78368,111899,27788,41638,9683,22919.0,9503.0,-1625.0,84111,-51654,-105778,31955,0.18717079716320895,-0.11494477959682319,-0.2353860087542642,0.45467819580921315,0.45467819580921315,1.0350247314064782,52347.68891211926,31763.311087880742,1.0,0.30211557676003215
2007-02-13,,482168,55706,171493,25859,87371,124329,25039,43595,10570,32787.0,12430.0,-2748.0,99290,-61512,-115787,33025,0.20592407625557896,-0.12757379170745467,-0.24013829204758508,0.5969772230195061,0.5969772230195061,1.394515889528108,55824.897140851164,43465.102859148836,1.0,0.3334978679630336
2007-02-20,,494298,55735,175612,27507,87292,124341,26184,44786,5190,12130.0,12.0,1145.0,98157,-59785,-119877,39596,0.19857859024313268,-0.12094930588430461,-0.2425196945971863,0.5642181514115026,0.5642181514115026,-0.10556375101853613,58960.60846375108,39196.39153624892,0.9864449362923969,0.31952789612743726
2007-02-27,,533271,63467,191610,26700,92566,139549,23707,41524,9002,38973.0,15208.0,-2477.0,115842,-65866,-128143,32522,0.21722913865558038,-0.12351318560356742,-0.24029620961949927,0.7019848538508376,0.7019848538508376,1.6159318486712047,63174.044873843595,52667.955126156405,1.0,0.3407423242591478
2007-03-06,,487871,67506,166752,33223,79172,90785,22161,42914,5723,-45399.0,-48763.0,-1546.0,68624,-45949,-99246,37191,0.14066013351890153,-0.09418268353724653,-0.20342672550735746,0.1734047074001279,0.1734047074001279,-3.5374428766621415,63577.74525355888,5046.254746441118,0.5284660015778384,0.23484281705614807
2007-03-13,,494886,73613,169949,33638,76957,86558,18569,40182,6682,7015.0,-4227.0,-3592.0,67989,-43319,-96336,33500,0.13738315490840314,-0.08753329049518475,-0.19466301330003274,0.15965966862013983,0.15965966862013983,-0.04821000828801988,63904.50486440637,4084.495135593628,0.5221246891758291,0.2249164454035879
2007-03-20,,467591,64307,159361,35305,78028,84751,18921,38492,6968,-27295.0,-1807.0,353.0,65830,-42723,-95054,31524,0.1407854300018606,-0.09136831119504012,-0.20328449435510948,0.1240812407621562,0.1240812407621562,-0.1660052772333096,64047.1341337096,1782.8658662903981,0.5005642270089977,0.23215374119690074
2007-03-27,,437206,57504,154666,32372,82112,88578,19742,37323,6142,-30385.0,3827.0,821.0,68836,-49740,-97162,31181,0.15744523176717612,-0.11376788058718316,-0.22223391261785064,0.16436572068930166,0.16436572068930166,0.23390199436113016,64401.864938620005,4434.135061379995,0.5305831011514226,0.2712131123543593
2007-04-03,,430640,62112,149146,31909,83086,92989,23202,38242,9120,-6565.0,4411.0,3460.0,69787,-51177,-87034,29122,0.1620541519598737,-0.11883940182054617,-0.2021038454393461,0.17356361899224912,0.17356361899224912,0.07491227823506524,64800.76383205556,4986.236167944437,0.5400800902763214,0.28089355378041986
2007-04-10,,463667,60893,166798,30740,87186,108209,23313,42436,9191,33027.0,15220.0,111.0,84896,-56446,-105905,33245,0.1830969208505242,-0.12173823023851169,-0.22840745621318748,0.3594333757922592,0.3594333757922592,1.1846171512844261,66289.2998444959,18606.700155504106,0.6909633801691683,0.3048351510890359
2007-04-17,,484425,57646,174533,30180,98098,126468,18917,44557,10182,20757.0,18259.0,-4396.0,107551,-67918,-116887,34375,0.22201785622129327,-0.14020333384940908,-0.2412901893998039,0.5780270055016713,0.5780270055016713,1.7362584263579637,69345.72207823694,38205.27792176306,0.9172034312991202,0.36222119007070236
2007-04-24,,504386,59749,181812,33311,94056,125890,21709,43591,6918,19962.0,-578.0,2792.0,104181,-60745,-122063,36673,0.20655014215303358,-0.12043355683940474,-0.24200314838238968,0.5305180392582162,0.5305180392582162,-0.26095659528093995,71926.11303540457,32254.886964595426,0.8835495371341262,0.3269836989924383
2007-05-01,,482965,57725,182217,37018,89605,124836,19889,40660,8057,-21422.0,-1054.0,-1820.0,104947,-52587,-124492,32603,0.21729731968155042,-0.10888366651827772,-0.257766090710507,0.5228018807631619,0.5228018807631619,0.0599855947812414,74372.10466241164,30574.895337588358,0.8911990572915106,0.32618098619982816
2007-05-08,,505498,62808,189635,34764,93103,131327,16251,39133,9194,22533.0,6491.0,-3638.0,115076,-58339,-126827,29939,0.22764877408021397,-0.11540896304238592,-0.25089515685522,0.5973951638270637,0.5973951638270637,0.7972654143070882,77387.20802075152,37688.791979248475,0.9923504798426156,0.3430577371225999
2007-05-15,,495194,66863,168874,37964,95003,108506,20297,42289,8471,-10303.0,-22822.0,4046.0,88209,-57039,-102011,33818,0.1781301873609131,-0.11518515975557055,-0.20600209210935513,0.3235215094009131,0.3235215094009131,-2.0364948505639173,78188.8222414366,10020.177758563397,0.7240480541657929,0.29331534711648366
2007-05-22,,503146,73853,164317,44438,90054,95343,27385,47005,10594,7952.0,-13162.0,7088.0,67958,-45616,-90464,36411,0.1350661636980121,-0.09066155748033373,-0.17979671904377656,0.06140901660395358,0.06140901660395358,-1.5133400566574804,77430.98355688574,-9472.983556885738,0.5218151132947861,0.22572772117834583
2007-05-29,,485884,82272,163045,46864,88469,91443,29139,43179,9283,-17263.0,-3900.0,1754.0,62304,-41605,-80773,33896,0.1282281367569214,-0.08562743370845716,-0.16623926698553565,-0.024962277102829764,-0.024962277102829764,-0.4261453489286761,76310.46625637569,-14006.466256375686,0.4653524671200455,0.21385557046537856
2007-06-05,,451514,64162,156770,44382,95397,101396,25188,42242,6530,-34370.0,9953.0,-3951.0,76208,-51015,-92608,35712,0.16878324924587057,-0.1129865297643041,-0.20510548953077867,0.17277370104412243,0.17277370104412243,1.0468244719616584,76302.87616331082,-94.87616331082245,0.6042022429271897,0.28176977901017464
2007-06-12,,481714,84254,150422,51723,86062,79076,39126,44274,8830,30199.0,-22320.0,13938.0,39950,-34339,-66168,35444,0.08293302665066823,-0.07128503634936913,-0.13735951207562994,-0.4633152266550606,-0.4633152266550606,-2.574514248558261,73610.0705215841,-33660.0705215841,0.2421182979318334,0.15421806300003738
2007-06-19,,481432,83004,149727,47510,95032,78843,31482,44491,8507,-282.0,-233.0,-7644.0,47361,-47522,-66723,35984,0.09837526379634091,-0.09870968277970721,-0.138592781535087,-0.2881932558555107,-0.2881932558555107,0.5263376836074424,71665.69492739269,-24304.694927392688,0.3161269061385901,0.19708494657604814
2007-06-26,,477171,84402,143489,52049,76836,69708,48214,46816,7880,-4261.0,-9135.0,16732.0,21494,-24787,-59087,38936,0.04504464856414157,-0.051945738529793305,-0.12382772632871654,-1.0668122541874085,-1.0668122541874085,-1.7829638188806654,67949.27308091916,-46455.273080919156,0.057810799205089025,0.09699038709393487
2007-07-03,,445464,70061,136688,48544,74358,68208,36039,39725,7750,-31707.0,-1500.0,-12175.0,32169,-25814,-66627,31975,0.07221458973115673,-0.05794856598961981,-0.1495676418296428,-0.6543273942055992,-0.6543273942055992,0.7319890135109731,65298.88248233255,-33129.88248233255,0.16441475179004764,0.13016315572077652
2007-07-10,,460710,71637,143092,45292,80356,71915,34289,40564,5985,15246.0,3707.0,-1750.0,37626,-35064,-71455,34579,0.08166959692648304,-0.07610861496386014,-0.155097566799071,-0.48545434509369007,-0.48545434509369007,0.3775509423197023,63249.0393354931,-25623.0393354931,0.21891009317235388,0.1577782118903432
2007-07-17,,458921,67324,142865,40923,79874,72527,28782,41246,6302,-1789.0,612.0,-5507.0,43745,-38951,-75541,34944,0.09532141697590653,-0.08487517459432016,-0.16460567287180147,-0.32231086035244216,-0.32231086035244216,0.42346748654631927,61804.29568101213,-18059.295681012132,0.28001637756273906,0.1801965915702267
2007-07-24,,490884,60863,158866,29235,100613,115624,17340,39545,10444,31962.0,43097.0,-11442.0,98284,-71378,-98003,29101,0.20021838153209312,-0.14540706154610866,-0.1996459448668117,0.48032269908468284,0.48032269908468284,3.3394802467558344,64506.49600093716,33777.50399906284,0.8246602155047584,0.34562544307820176
2007-07-31,,425305,61552,138356,35442,76052,77884,20906,36541,10782,-65579.0,-37740.0,3566.0,56978,-40610,-76804,25759,0.13396973936351558,-0.09548441706540012,-0.18058569732309754,-0.059175844111056274,-0.059175844111056274,-2.384134098391883,63948.82963049737,-6970.82963049737,0.41216533349311446,0.2294541564289157
